Category,Sector,Company Name (English),Company Name (Arabic),Primary Location,Est. Scale,Specific Pain Point
Category 9 — Hotels & Resorts,Hotel Group,Stella Di Mare Hotels & Resorts,ستيلا دي ماري للفنادق والمنتجعات,Ain Sokhna (2 resorts + marina),Large,"Flagship Sokhna resorts with marine structures, pools and aging MEP plants — right in UBC's home zone for rapid-response works."
Category 9 — Hotels & Resorts,Resort Developer,Telal Sokhna (Rooya Group),تلال السخنة (مجموعة رؤية),Ain Sokhna,Medium,"Large chalet community under phased delivery — waterproofing, steel pergolas, utility networks and seasonal pre-summer maintenance campaigns."
Category 9 — Hotels & Resorts,Resort,Cancun Sokhna Resort,منتجع كانكون السخنة,Ain Sokhna,Medium,Established Sokhna resort with continuous unit-renovation and pool/waterfront civil maintenance.
Category 9 — Hotels & Resorts,Operator,Accor Egypt (Mövenpick El Sokhna & portfolio),أكور مصر (موفنبيك العين السخنة),"Ain Sokhna, Alexandria, Cairo",Large,Regional engineering office coordinates capex/renovation across owned/managed hotels — one approved-vendor registration covers multiple properties incl. Sokhna.
Category 9 — Hotels & Resorts,Operator,Hilton Egypt (Alexandria hotels),هيلتون مصر (فنادق الإسكندرية),Alexandria Corniche & Green Plaza + national portfolio,Large,Brand-standard renovations under strict contractor HSE pre-qualification; Alexandria cluster fits UBC's geography.
Category 9 — Hotels & Resorts,Operator,Steigenberger Hotels Egypt,شتايجنبرجر مصر (سيسيل الإسكندرية),"Alexandria (Cecil), Cairo, El Gouna",Medium,Historic properties (Cecil Alexandria) need sensitive structural restoration plus modern MEP retrofits.
Category 9 — Hotels & Resorts,Hotel Group,Helnan International (Palestine Hotel),هلنان الدولية (فندق فلسطين),Alexandria (Montazah) + portfolio,Medium,"Aging landmark hotels under rehabilitation — civil restoration, kitchens/laundry steam systems, chiller plants."
Category 9 — Hotels & Resorts,Hotel Group,Tolip Hotels & Resorts,توليب للفنادق والمنتجعات,Alexandria + nationwide,Large,Fast-growing state-affiliated chain with continuous fit-out and renovation packages procured through central administration.
Category 9 — Hotels & Resorts,Hotel Group,Paradise Inn Group,مجموعة بارادايس إن,"Alexandria (Metropole, Windsor Palace, beach resorts)",Medium,Heritage Alexandria hotels requiring specialized structural repair and phased renovation in occupied buildings.
Category 9 — Hotels & Resorts,Hotel (Owner),Four Seasons Alexandria at San Stefano,فورسيزونز الإسكندرية سان ستيفانو,Alexandria,Large,"Premium property with continuous preventive/corrective works under strict brand standards. *Note: owner is TMG (already contacted at group level) — approach the hotel's own engineering department, a separate buyer.*"
Category 9 — Hotels & Resorts,Hotel Group,Baron Hotels & Resorts,بارون للفنادق والمنتجعات,Cairo (Heliopolis) & Red Sea\*,Medium,Egyptian-owned chain with rolling refurbishments and central procurement — accessible decision-making vs. global brands.
Category 10 — Facility Management & Property Operators,FM Provider,EFS Facilities Services Egypt,إي إف إس لخدمات المرافق – مصر,Cairo + national contracts,Large,Regional FM major delivering integrated contracts for banks/industrial/commercial clients — subcontracts specialist civil and mechanical works to pre-qualified panel vendors.
Category 10 — Facility Management & Property Operators,FM Provider,Contrack Facility Management,كونتراك لإدارة المرافق,Cairo Festival City & major mixed-use sites,Large,"Manages flagship mixed-use assets; standing demand for hard-services subcontractors (HVAC piping, structural repairs, waterproofing)."
Category 10 — Facility Management & Property Operators,FM Provider,Care Service Egypt,كير سيرفس مصر,Cairo + nationwide contracts,Medium,Long-established Egyptian FM/support-services firm — partners with technical subcontractors for MEP and civil scopes it doesn't self-perform.
Category 10 — Facility Management & Property Operators,Mall Operator,Majid Al Futtaim Egypt,ماجد الفطيم – مصر,"City Centre Alexandria, Maadi, Almaza",Large,"Mall portfolio incl. City Centre Alexandria — formal vendor registration; recurring common-area renovations, roofing, chiller-plant and car-park civil works."
Category 10 — Facility Management & Property Operators,Property Operator,Al-Futtaim Group Egypt (Cairo Festival City),مجموعة الفطيم – مصر (كايرو فستيفال سيتي),Cairo Festival City\*,Large,Owner of a giant mixed-use estate with continuous asset-upkeep capex — approved-contractor list governs all works.
Category 10 — Facility Management & Property Operators,Mall Developer/Operator,Marakez,مراكز,"Mall of Arabia (6th of October), District Five",Large,"Mall of Arabia sits in a priority zone; ongoing expansions, tenant coordination works and infrastructure maintenance."
Category 10 — Facility Management & Property Operators,Community Developer/Operator,Madinet Masr,مدينة مصر للإسكان والتعمير,"Taj City, Sarai (East Cairo)\*",Large,"Huge delivered-community base with long-term maintenance obligations — panels for civil, MEP and infrastructure subcontractors."
Category 10 — Facility Management & Property Operators,Mall Operator,Golden Pyramids Plaza (Citystars),الأهرامات الذهبية (سيتي ستارز),Citystars Heliopolis\*,Large,"One of Egypt's largest mixed-use complexes (mall + hotels) — continuous renovation, waterproofing and plant-room works under one owner."
Category 10 — Facility Management & Property Operators,Community Developer/Operator,The Waterway Developments,ذا ووترواي,New Cairo communities\*,Medium,Operates delivered high-end communities — recurring hard-FM subcontracting for civil and mechanical scopes.
Category 10 — Facility Management & Property Operators,Property Services,Savills Egypt,سافيلز مصر,Cairo (manages multiple commercial/community assets),Medium,International property manager running owner budgets across several assets — vendor-panel registration opens multiple buildings at once.
