Category,Company,Official Website,Published Emails (labeled),Vendor Portal / Registration,Email Pattern (per source),Source URLs
"8 - Construction, EPC & Developers",Ora Developers Egypt,www.oradevelopers.com,info@oradevelopers.com (general); phone 15003,none found,firstlast@ora-egypt.com (RocketReach),https://www.oradevelopers.com/contact-us ; https://rocketreach.co/ora-developers-egypt-profile_b45f045ffc6ac6f6
"8 - Construction, EPC & Developers",Polaris Parks (IDG),www.polarisparks.com,info@polarisparks.com (general); phone 01226122311,none found,none found,https://www.polarisparks.com/ ; https://www.egypt-business.com/company/details/Polaris-Parks
"8 - Construction, EPC & Developers",Heliopolis Housing & Development,hhd.com.eg,info@hhd.com.eg (general),none found,"first.last@hhd.com.eg (RocketReach, 40%)",https://hhd.com.eg/ ; https://rocketreach.co/heliopolis-company-for-housing-development-email-format_b7fa8143c25315dc
9 - Hotels & Resorts,Jaz Hotels Group / Travco Group,https://www.jazhotels.com / https://travcogroup.com,"info@jazhotels.com (Jaz head office, Sheikh Zayed); info@travco.com (Travco general, +202 3854 1010)",none found,first.last@jazhotels.com (82.8%) and first.last@travco.com (75.3%) per RocketReach,https://rocketreach.co/jaz-hotel-group-email-format_b442cc8cfa125e5f ; https://travco.com/en/contact-us
9 - Hotels & Resorts,Pickalbatros Hotels & Resorts,https://www.pickalbatros.com,Marketing@pickalbatros.com (marketing); m.soliman@pickalbatros.com (sales & marketing),none found,"first.last@pickalbatros.com (38%, ZoomInfo/Lusha)",https://www.pickalbatros.com/contact-us ; https://www.zoominfo.com/pic/pickalbatros-hotels/346858472
9 - Hotels & Resorts,Sunrise Resorts & Cruises,https://www.sunrise-resorts.com,"info@sunrise-resorts.com (general; HQ New Maadi, +20 227539989)",none found,last.firstinitial@sunrise-resorts.com (59%) per RocketReach/SignalHire,https://www.sunrise-resorts.com/about/contact-us ; https://rocketreach.co/sunrise-resorts-cruises-email-format_b4467887faeacf74
9 - Hotels & Resorts,Orascom Development Egypt (El Gouna),https://www.orascomde.com / https://www.elgouna.com,"info@elgouna.com (El Gouna general, +20653561760); sales@orascomdh.com (holding)","https://eprocurement.orascom.com/ (Orascom Construction e-procurement — affiliated entity, not ODE-specific)",none found,https://www.elgouna.com/contact-us ; https://www.orascomde.com/contact-us
9 - Hotels & Resorts,Stella Di Mare Hotels & Resorts,https://stelladimare.com,"reservation@stelladimaresharm.com (reservations); Managment@remcogroup-eg.com (management, Grand Hotel Ain Sokhna; tel +20 62 3250100)",none found,first.last@stelladimare.com (93.6%) per RocketReach,https://stelladimare.com/contact-us/ ; https://rocketreach.co/stella-di-mare-grand-hotel-ain-sokhna-email-format_b6a46e8cc878b6dc
9 - Hotels & Resorts,Telal Sokhna (Rooya Group),https://www.rooyagroup.com,"none found (head office Sheraton Cairo, +20 2 226 845 00; Telal sales 01009002282)",none found,firstinitial.last@rooyagroup.com (26.6%) per RocketReach,https://rocketreach.co/rooya-group-email-format_b5f43a4cf42d2acf ; https://rooyagroup.com/about-rooya-group/
9 - Hotels & Resorts,Cancun Sokhna Resort,https://www.cancunsokhnaresort.com,resm@cancun-eg.com (reservations); cancun-res@amer-group.com (reservations via Amer Group; +20 62 3394310),none found,none found,https://www.cancunsokhnaresort.com/contact ; https://www.travelweekly.com/Hotels/Ain-Al-Sokhna-Egypt/Cancun-Beach-Resort-p9718829
9 - Hotels & Resorts,Accor Egypt / Movenpick El Sokhna,https://movenpick.accor.com/en/africa/egypt/el-sokhna/resort-el-sokhna.html,"Resort.elsokhna@movenpick.com (hotel general, +200623390800); Resort.Elsokhna.For@movenpick.com (sales); Accor Hotels Co SAE Cairo office tel 02 25782061 (no email)",none found,none found,https://cci-egypt.org/services/discounted-services/advert/193 ; https://www.egyptyello.com/company/421736/ACCOR_HOTELS_CO_S_A_E
9 - Hotels & Resorts,Hilton Alexandria (Corniche / Green Plaza),https://www.hilton.com/en/hotels/alyachi-hilton-alexandria-corniche/,"AlexandriaCorniche.Info@hilton.com (Corniche info, +20 3 5490935); alexandria@hilton.com (Green Plaza); social.alexandriagp@hilton.com (Green Plaza events)",none found,none found,https://www.travelweekly.com/Hotels/Alexandria-Egypt/Hilton-Alexandria-Corniche-p5667995 ; https://www.travelweekly.com/Hotels/Alexandria-Egypt/Hilton-Alexandria-Green-Plaza-p4136317
9 - Hotels & Resorts,Steigenberger Hotels Egypt (Cecil Alexandria),https://hrewards.com/en/steigenberger-cecil-hotel-alexandria,reservations.eltahrir@steigenberger.com (El Tahrir Cairo); amany.hassan@steigenberger.com (Cecil reservations; Egypt corporate tel +20 2 38541111),none found,none found,https://hrewards.com/en/steigenberger-cecil-hotel-alexandria ; https://www.travelweekly.com/Hotels/Alexandria-Egypt/Steigenberger-Cecil-Hotel-p9210506
9 - Hotels & Resorts,Helnan International (Palestine Hotel),https://www.helnan.com,"Aarhus@helnan.com (international head office, Denmark); Palestine Hotel Alexandria none found (tel +20 3 5473500)",none found,none found,https://www.helnan.com/en/ContactUs ; https://rocketreach.co/helnan-international-profile_b5ebd8caf42e85e7
9 - Hotels & Resorts,Tolip Hotels & Resorts,https://tolipgroup.com,"info@tolipgroup.com (head office, New Cairo, +202 226170000)",none found,none found,https://tolipgroup.com/contact-us/ ; https://tolipgroup.com/
9 - Hotels & Resorts,Paradise Inn Group,https://paradiseinnegypt.com,"e-markting@paradiseinnegypt.com (marketing/head office, Alexandria, +20 3 486 1467)",none found,none found,https://paradiseinnegypt.com/contact-us/ ; https://contactout.com/company/Paradise-Inn-Group-9366
9 - Hotels & Resorts,Four Seasons Alexandria at San Stefano,https://www.fourseasons.com/alexandria/,reservations.alx@fourseasons.com (reservations; tel +20 3 5818000),none found,none found,https://www.fourseasons.com/alexandria/contact-us/ ; https://yellowpages.com.eg/en/profile/four-seasons-hotel-alexandria-at-san-stefano/138595
9 - Hotels & Resorts,Baron Hotels & Resorts Egypt,https://baronhotels.com,"reservation@baronhotels.com (head office, Heliopolis, +202 24199206)",none found,none found,https://baronhotels.com/contact-us/ ; https://baronhotelsegypt.com/contact.asp
10 - Facility Management & Property Operators,EFS Facilities Services Egypt,https://efsme.com,efs.egypt@efsme.com (Egypt office); efs.group@efsme.com (group),none found,"first.last@efsme.com (RocketReach, 89.1%)",https://efsme.com/contact/ ; https://www.egypt-business.com/company/details/efs-egypt-facilities-services
10 - Facility Management & Property Operators,Contrack Facility Management,https://www.contrackfm.com,info@contrackfm.com (general),none found,"[first_initial][last]@contrackfm.com (RocketReach, 99.1%)",https://www.contrackfm.com/contact-us/ ; https://rocketreach.co/contrack-facilities-management-sae-email-format_b5dbc12ff42e52b3
10 - Facility Management & Property Operators,Care Service Egypt,https://careserviceseg.com,"none found (hotline 16735; HQ tel 02-26822260, Abbasia, Cairo)",none found,none found,https://careserviceseg.com/contact-us ; https://www.egypt-business.com/company/details/Care-Services-Group-of-Companies
10 - Facility Management & Property Operators,Majid Al Futtaim Egypt,https://www.majidalfuttaim.com,ir@maf.ae (group IR; no Egypt email published — webform),https://www.mafsafetymanagement.com/ContractorRegistration.aspx (MAF contractor registration); https://partnerconnect.maf.ae/index.html (supplier portal),first.last@maf.ae / first.last@majidalfuttaim.com (LeadIQ/GetProspect),https://www.majidalfuttaim.com/en/contact-us ; https://leadiq.com/c/majid-al-futtaim/5a1d8b2d24000024006651de/email-format
10 - Facility Management & Property Operators,Al-Futtaim Group Egypt / Cairo Festival City,https://www.cairofestivalcity.com,Sales.CFC@alfuttaim.com (CFC sales),"https://www.alfuttaim.com/suppliers/ (SAP Ariba supplier registration, all Al-Futtaim entities)",first.last@cairofestivalcity.com (RocketReach),https://rocketreach.co/cairo-festival-city-al-futtaim-group-real-estate-email-format_b43a9f76c193fb91 ; https://www.alfuttaim.com/suppliers/
10 - Facility Management & Property Operators,Marakez,https://marakez.net,"info@marakez.net (general, per ZoomInfo/Datanyze; tel +20 227366355)",none found,[first_initial][last]@marakez.net (RocketReach/LeadIQ),https://www.marakez.net/contact-us ; https://rocketreach.co/marakez-email-format_b55890bdf6a181b9
10 - Facility Management & Property Operators,Madinet Masr,https://madinetmasr.com/en,"media@mnhd.com (media/corporate, per Mubasher; tel +20 2 2261 9570)",none found,none stated,https://madinetmasr.com/en/contact-us ; https://english.mubasher.info/markets/EGX/stocks/MNHD/profile
10 - Facility Management & Property Operators,Golden Pyramids Plaza (Citystars),https://www.citystars-heliopolis.com.eg/en,none found (customer service tel +20 2 2480 0500),none found,"first.last@citystars.com.eg (RocketReach, ~77%)",https://rocketreach.co/golden-pyramids-plaza-email-format_b7ce01bbc16e25cc ; https://www.citystars-heliopolis.com.eg/en/contacts
10 - Facility Management & Property Operators,The Waterway Developments,https://www.thewaterwaydevelopments.com,"social@thewaterwaydevelopments.com (general, per ZoomInfo); sales contacts on shary.com.eg listing",none found,none stated,https://www.zoominfo.com/pic/the-waterway-developments/546806318 ; https://shary.com.eg/en/developer/the-water-way-developments/
10 - Facility Management & Property Operators,Savills Egypt,https://www.savills.com.eg,"egypt@savills.me (Cairo office; tel +20 2 37966711, Sheikh Zayed)",none found,"first.last@savills.me (RocketReach, 90.6%)",https://www.savills.com.eg/talk-to-us/office.aspx ; https://rocketreach.co/savills-middle-east-email-format_b40f194affde838e
